word,count_0,weight_0,count_1,weight_1,count_2,weight_2,count_3,weight_3,total,total-weight
tableau,4,0.194,4,0.195,2,0.142,1,0.091,11,0.943
environment:,6,0.291,5,0.244,0,"",0,"",11,""
engine,2,0.097,5,0.244,2,0.142,2,0.182,11,1.008
responsible,2,0.097,5,0.244,0,"",4,0.365,11,""
ingestion,3,0.145,2,0.097,3,0.213,2,0.182,10,0.966
based,4,0.194,2,0.097,4,0.284,0,"",10,""
create,2,0.097,3,0.146,1,0.071,4,0.365,10,1.029
may,5,0.243,5,0.244,0,"",0,"",10,""
teradata,4,0.194,3,0.146,3,0.213,0,"",10,""
javascript,1,0.048,6,0.293,3,0.213,0,"",10,""
redshift,1,0.048,0,"",6,0.427,3,0.274,10,""
cluster.,7,0.340,2,0.097,0,"",1,0.091,10,""
installed,6,0.291,3,0.146,0,"",1,0.091,10,""
sqoop.,3,0.145,2,0.097,3,0.213,2,0.182,10,0.966
environment,2,0.097,3,0.146,4,0.284,1,0.091,10,0.937
kerberos,4,0.194,0,"",2,0.142,4,0.365,10,""
pipeline,2,0.097,0,"",3,0.213,4,0.365,9,""
stream,4,0.194,1,0.048,3,0.213,1,0.091,9,0.828
security,2,0.097,0,"",1,0.071,6,0.548,9,""
building,4,0.194,1,0.048,2,0.142,2,0.182,9,0.858
integration,2,0.097,3,0.146,2,0.142,2,0.182,9,0.859
distributed,4,0.194,3,0.146,1,0.071,1,0.091,9,0.761
json,2,0.097,4,0.195,1,0.071,2,0.182,9,0.826
source,4,0.194,4,0.195,1,0.071,0,"",9,""
reduce,1,0.048,6,0.293,1,0.071,1,0.091,9,0.762
batch,1,0.048,1,0.048,6,0.427,1,0.091,9,0.931
writing,2,0.097,4,0.195,1,0.071,2,0.182,9,0.826
scheduling,3,0.145,2,0.097,1,0.071,3,0.274,9,0.89
shell,1,0.048,6,0.293,0,"",2,0.182,9,""
mapreduce,0,"",7,0.342,2,0.142,0,"",9,""
rdbms,2,0.097,4,0.195,2,0.142,1,0.091,9,0.796
creating,4,0.194,4,0.195,0,"",1,0.091,9,""
application,5,0.243,2,0.097,0,"",2,0.182,9,""
loading,2,0.097,2,0.097,2,0.142,3,0.274,9,0.925
map,0,"",6,0.293,2,0.142,0,"",8,""
developer,2,0.097,4,0.195,0,"",2,0.182,8,""
extract,3,0.145,2,0.097,1,0.071,2,0.182,8,0.75
iot,0,"",0,"",8,0.569,0,"",8,""
ambari,1,0.048,3,0.146,0,"",4,0.365,8,""
team,1,0.048,4,0.195,1,0.071,2,0.182,8,0.752
emr,2,0.097,1,0.048,2,0.142,3,0.274,8,0.85
importing,3,0.145,3,0.146,1,0.071,1,0.091,8,0.687
ec2,3,0.145,0,"",4,0.284,1,0.091,8,""
imported,4,0.194,2,0.097,2,0.142,0,"",8,""
scripting,1,0.048,2,0.097,2,0.142,3,0.274,8,0.85
skills,1,0.048,3,0.146,3,0.213,1,0.091,8,0.755
