thinkes,4
thoughts,4
treb,4
triumph,4
var,4
warre,4
weare,4
whil,4
winde,4
wise,4
wisely,4
withall,4
worse,4
write,4
yea,4
yee,4
aboue,3
according,3
aduantage,3
affayres,3
alarums,3
amisse,3
ancestors,3
answered,3
apt,3
awe,3
battell,3
bend,3
beseech,3
bin,3
bold,3
bondman,3
bones,3
bosome,3
brings,3
brow,3
buried,3
charge,3
children,3
close,3
commend,3
comming,3
condition,3
conference,3
conquest,3
consent,3
consider,3
conspiracie,3
constancie,3
construe,3
content,3
cowards,3
crosse,3
cruell,3
danger,3
dangers,3
dard,3
dardanius,3
de,3
deede,3
desire,3
doest,3
drop,3
dy,3
dying,3
fates,3
fearing,3
fingers,3
fled,3
foote,3
forget,3
forme,3
friendly,3
gentlemen,3
glories,3
god,3
graues,3
graunt,3
greater,3
greefe,3
haile,3
happy,3
harme,3
haste,3
heauy,3
hill,3
holds,3
honesty,3
hope,3
horse,3
hot,3
huge,3
hundred,3
idle,3
images,3
immortall,3
ioy,3
iudge,3
kisse,3
kneele,3
knew,3
knowes,3
lady,3
late,3
laughter,3
led,3
lep,3
lightning,3
limbes,3
loose,3
lyon,3
makes,3
manner,3
mans,3
matters,3
met,3
metel,3
mother,3
mothers,3
motion,3
mouth,3
ne,3
neede,3
noyse,3
oft,3
order,3
ordinary,3
palme,3
parts,3
permission,3
pind,3
pluckt,3
popillius,3
powers,3
priuate,3
promise,3
proofe,3
proper,3
proscription,3
prythee,3
publike,3
question,3
rage,3
ran,3
ready,3
receiue,3
refus,3
regard,3
reioyce,3
render,3
rise,3
romane,3
rous,3
sardis,3
saue,3
second,3
secrets,3
shame,3
shores,3
silence,3
sinke,3
sleep,3
sodaine,3
soone,3
soothsayer,3
sort,3
soule,3
spurre,3
stare,3
steele,3
stones,3
stood,3
streetes,3
successe,3
sunne,3
sweare,3
sweet,3
swell,3
taper,3
taste,3
teeth,3
thinking,3
told,3
touch,3
traine,3
trash,3
trouble,3
truth,3
turn,3
turnes,3
twas,3
tydings,3
varrus,3
villaines,3
visit,3
vrge,3
walk,3
walkes,3
watch,3
windowes,3
women,3
yeeld,3
abide,2
abroad,2
abuse,2
acte,2
action,2
added,2
agen,2
ages,2
ambitions,2
arm,2
arme,2
artemidorus,2
aske,2
asleepe,2
asse,2
assure,2
attaine,2
audience,2
augurers,2
ayme,2
banish,2
bankes,2
barren,2
batchellor,2
bathe,2
battailes,2
bay,2
beast,2
beasts,2
begins,2
beholding,2
benefit,2
bent,2
bestow,2
betimes,2
betweene,2
bids,2
billes,2
bleed,2
bleeding,2
bloods,2
blowes,2
blunt,2
bondage,2
bondmen,2
booke,2
bound,2
bow,2
brands,2
break,2
