brother,12,7,402
brothers,1,9,1
brought,5,5,863
brow,3,4,2
browes,2,1,""
bru,153,"",""
brut,37,"",""
brute,1,"",2
brutish,1,"",11
brutus,161,1,""
buffet,1,"",2
buriall,2,5,""
buried,3,6,106
burne,5,2,""
burnes,1,2,""
burneth,1,"",18
burst,1,3,9
bury,2,"",39
busie,1,1,""
businesse,4,10,""
bussling,1,"",""
butchers,2,"",""
buy,1,5,56
buzzing,1,"",""
byrth,1,"",""
caes,39,"",""
caesar,190,2,30
caesars,38,"",""
cai,5,"",""
caius,13,"",""
cal,1,2,""
calculate,1,"",""
calender,1,"",""
call,10,23,195
calles,2,1,""
calp,5,"",""
calphurnia,10,"",""
cals,1,3,""
came,7,8,2093
campe,1,"",""
can,19,35,235
cancell,1,"",""
canopy,1,1,""
capitoll,17,"",""
cappes,1,"",""
captiue,1,"",""
captiues,1,"",""
captiuitie,1,"",""
car,1,"",""
care,2,"",20
carelesly,1,"",""
cares,1,"",3
carkasse,1,"",""
carpenter,1,2,4
carries,1,1,""
carrion,1,1,""
carrions,1,"",""
carue,1,1,""
cas,21,"",""
case,1,1,8
cask,38,"",""
caska,33,"",""
cass,10,"",""
cassi,107,"",""
cassius,85,"",""
cast,2,6,501
catching,1,"",""
cato,12,"",""
cauerne,1,"",""
cause,15,13,328
causes,1,1,7
cautelous,1,"",""
censure,1,3,""
ceremonies,4,"",1
ceremony,2,1,""
certaine,6,4,""
chace,1,1,""
chafing,1,"",""
chaire,1,"",""
chanc,4,"",""
chance,2,2,6
change,8,3,26
channell,1,"",""
charge,3,7,102
charges,1,"",6
chariot,2,"",64
charme,1,1,""
charractery,1,"",""
chasticement,2,"",""
chayre,1,"",""
check,1,"",1
cheeke,1,2,""
cheere,1,2,""
chew,1,"",3
chidden,1,"",""
chide,1,1,4
chides,1,"",""
childe,1,2,""
children,3,3,1821
chimney,1,"",1
choak,1,"",""
choaked,1,"",""
choice,1,1,21
choller,1,2,""
chollericke,1,"",""
choose,2,4,59
chopt,1,"",""
chose,1,"",29
cic,4,"",""
cicero,11,"",""
cimber,1,"",""
cin,7,"",""
cinna,26,"",""
citizen,1,"",2
citizens,1,"",1
ciuill,2,"",""
clamors,1,"",""
clap,1,1,6
clapp,1,"",""
clau,2,"",""
claudio,6,1,""
cleane,1,"",""
climb,1,"",4
climber,1,"",""
clit,6,"",""
clitus,5,"",""
cloake,1,1,""
cloakes,1,"",""
clocke,6,"",""
close,3,3,11
closet,1,"",2
closset,1,2,""
