blms_id,blms_parcel,blms_loc_no,blms_loc_street,blms_dba,bldt_lic_text2,bldt_lic_text3,bldt_lic_text6,bldt_lic_text7,xcoord,ycoord,geom
10044,175197065,1160,ALBANY AV,ALBANY GROCERY STORE,FOOD - CLASS 2,GROCERY,,,1014759,845767,"(41.782266143859, -72.695886617233)"
15708,136392203,1762,PARK ST,CARGO SERVICES CORPORATION,FOOD - CLASS 1,,,,1011439,836661,"(41.757281859196, -72.70807548277)"
15858,253675193,395,FRANKLIN AV,EL PIOLIN,FOOD - CLASS 4,RESTAURANT,,,1020214,829979,"(41.738928372092, -72.675935665046)"
15096,199219154,635,ALBANY AV,LOK HING CHINESE RESTAURANT,FOOD - CLASS 4,RESTAURANT,,,1017064,844302,"(41.778241524582, -72.687439303027)"
11504,169014057,679,BLUE HILLS AV,BILLY BONG GROCERY LLC,FOOD - CLASS 1,FOOD SERVICE,,,1014769,854333,"(41.805773422826, -72.695830264162)"
10645,206533005,300,SUMMIT ST,MATHER DINING HALL,FOOD - CLASS 4,CAFETERIA,QFO = MAURICE LITTLE,SEATING CAPACITY 600,1016166,831676,"(41.743594002566, -72.690763317634)"
16836,134387193,261,SISSON AV,TORRES MARKET LLC,FOOD - CLASS 3,,,,1011601,839875,"(41.766101752618, -72.707475947784)"
10792,159480015,1637,PARK ST,TOWN MARKET,FOOD - CLASS 3,GROCERY,,,1012119,836585,"(41.757072361939, -72.705583391964)"
11517,223328021,1,UNION PLACE,UNION STATION NEWS & GIFTS,FOOD - CLASS 1,NEWS STAND,,,1018686,840894,"(41.76888567744, -72.681502570448)"
10628,136382152,5,SOUTH WHITNEY ST,BEM BRAZIL LLC,FOOD - CLASS 4,RESTAURANT,SEATING CAPACITY 1,,1011128,836504,"(41.756851415437, -72.709215585124)"
10280,133304001,566,FARMINGTON AV,CVS PHARMACY #350,FOOD - CLASS 1,PHARMACY,,,1010552,839990,"(41.766418697156, -72.711320921795)"
10134,171053088,479,BLUE HILLS AV,CVS PHARMACY #2099,FOOD - CLASS 1,PHARMACY,,,1014749,851834,"(41.798915576352, -72.695909357508)"
10718,275680052,451,WETHERSFIELD AV,MIKE'S WEST INDIAN GROCERY,FOOD - CLASS 2,GROCERY,,,1020978,831619,"(41.7434271784, -72.673131015631)"
10167,208651222,1892,BROAD ST,ROMNY MINI MARKET,FOOD - CLASS 4,GROCERY,,,1017180,830813,"(41.741223712574, -72.687050045937)"
10424,284120024,3155,MAIN ST,UPTOWN FOODS,FOOD - CLASS 2,GROCERY,,,1023311,850323,"(41.794750032967, -72.664514485087)"
16131,269077023,250,COLUMBUS BLVD,SUBWAY 52387,FOOD - CLASS 4,,,,1022211,839495,"(41.765038047413, -72.668585787325)"
10387,247457104,357,MAIN ST,PEPPERCORN'S GRILL,FOOD - CLASS 4,RESTAURANT,SEATING CAPACITY  100,,1020389,837793,"(41.760371805318, -72.675269703029)"
10962,245338094,1,CIVIC CENTER PLAZA,BAR 12,FOOD - CLASS 2,CONCESSION,,LIQUOR,1020084,840394,"(41.767510385961, -72.676379474519)"
12101,226537065,557,PARK ST,ENVIOS GOMEZ LLC,FOOD - CLASS 1,VARIETY,,,1017428,836890,"(41.757900238452, -72.68612488001)"
16754,245338094,1,CIVIC CENTER PLAZA,BEAR'S SMOKEHOUSE BBQ,FOOD - CLASS 3,,ALT = MATT PEASE,,1020084,840394,"(41.767510385961, -72.676379474519)"
10049,176194074,1291,ALBANY AV,LOK CHUNG RESTAURANT,FOOD - CLASS 4,RESTAURANT,,,1014505,845470,"(41.78145152992, -72.696818570274)"
15044,182410002,1240,PARK ST,SUBWAY 48342,FOOD - CLASS 4,RESTAURANT,,,1014348,837222,"(41.758817035391, -72.697412601793)"
17355,244290104,1214,MAIN ST,DUNKIN DONUTS PARK - STADIUM CLUB BAR,FOOD - CLASS 2,,,,1020655,841827,"(41.771441574375, -72.674281797024)"
17349,244290104,1214,MAIN ST,DUNKIN DONUT PARK - COMMISSARY,FOOD - CLASS 2,,,,1020655,841827,"(41.771441574375, -72.674281797024)"
16264,276803011,719,WETHERSFIELD AV,ROOM BAR & LOUNGE,FOOD - CLASS 2,,,,1021535,828989,"(41.73620831296, -72.671098820207)"
