word,count
fooles,2
quicknesse,1
radiant,1
tend,4
guarded,1
dore,1
exceedingly,1
declining,1
hearers,2
cyclops,1
inuite,1
fixion,1
thither,2
carbuncles,1
spoakes,1
eare,17
whereto,4
glassie,1
temp,1
cursing,1
sodainely,1
frankely,2
slaine,5
built,1
relieu,1
wisedomes,1
cerimony,2
fellowship,2
capitol,1
seruant,1
third,3
confession,3
pettie,1
kingly,1
vaine,1
further,12
fitting,1
demands,2
dearest,1
sweepe,1
finde,13
dost,11
contracted,1
smiles,1
graue,15
fiery,2
matrons,1
sheene,1
ambiguous,1
behinde,5
beasts,2
fiers,1
doth,27
path,1
wisedome,5
crack,2
finds,1
seruice,6
pate,4
dew,3
beautifed,1
adulterate,1
enterprize,2
apparition,2
eate,2
carefully,1
going,2
past,4
mourning,1
buyes,1
strew,2
assignes,2
tributary,1
whose,27
buyer,1
eats,1
fines,2
indirections,1
smear,1
banke,1
mildew,1
brothell,1
bodies,4
knauery,1
scandall,1
iest,3
sheepe,1
espials,1
bowts,1
adoption,1
ayrie,1
relatiue,1
mine,44
kingdome,5
mind,2
behoue,1
ambassadors,3
foote,3
right,11
possible,3
conueniently,1
stealing,1
obsequious,1
touches,1
retrograde,1
stage,4
beggers,2
doue,2
lye,8
waites,1
inch,1
did,63
die,2
dig,1
dil,1
deere,20
conceald,1
faculty,2
wretched,4
habit,1
affaires,1
vbique,1
bird,2
forgotten,1
grosse,2
lunacy,1
stubborne,1
seated,1
amisse,1
greeue,2
seasons,1
suiting,1
test,1
bray,1
braz,1
louingly,1
hideous,1
asham,1
feast,3
parching,1
month,2
mowes,1
occasions,2
remaines,3
truant,2
puzels,1
distract,1
colours,1
occasion,2
sheete,1
rather,4
worthy,1
back,2
whore,1
bace,1
alwayes,2
delights,3
sheets,1
pound,1
load,1
company,1
applaud,1
prince,3
stirr,1
ayres,1
length,4
priest,3
babe,1
grand,1
vnsmirched,1
tragedie,4
coniectures,1
sokes,1
interpret,1
clossets,1
faction,1
baby,2
feare,21
blankes,1
blanket,1
grant,1
articles,1
brothers,9
schollers,2
coniunctiue,1
stale,1
dispatcht,1
watcht,1
whereat,1
goodly,3
signet,1
lock,1
whereas,1
baudry,1
dearly,1
letters,7
fear,1
lying,1
heeles,4
incens,1
made,29
lispe,1
torrent,1
sense,5
being,11
palme,2
deeme,1
knowe,1
certaintie,1
quintessence,1
breuitie,1
calmes,1
field,1
contents,1
qualifies,1
shold,1
bleede,1
curse,1
doe,51
nobility,1
don,1
doo,5
skin,1
deepe,3
bespeake,1
malicho,1
bands,1
partizan,1
mad,21
known,1
poure,1
loued,3
herald,1
blackest,1
louer,1
beleeued,1
man,46
stand,15
leisure,1
mar,31
twenty,2
inky,1
rosincrance,11
may,65
insinuation,1
forward,1
noyse,2
lacks,1
blest,2
foole,6
iephta,3
parley,1
driues,1
daysies,1
lodg,1
yesty,1
lacke,5
princes,1
statutes,1
sweets,1
warlike,4
siluer,2
reforme,1
driuen,1
incest,1
bait,1
sprung,1
armes,9
sweete,2
soultry,2
peering,1
lungs,2
progresse,1
maid,6
residence,1
terrible,1
likes,3
cries,5
waste,2
manet,3
loues,6
bearing,1
dry,2
pressure,1
iudicious,1
brood,1
becomes,2
messengers,1
staid,3
feed,3
woer,1
directions,1
lists,1
plaist,1
stiffely,1
euerie,1
twas,5
bakt,1
plentifull,1
mee,10
aduenturous,1
blurres,1
louing,3
augury,1
breath,13
napkin,1
consonancy,1
men,10
hither,8
paradox,1
threats,1
mes,3
clouts,1
necke,2
cups,1
germaine,1
make,54
met,1
mew,1
wicked,5
opposed,1
rebuke,1
speeches,1
conceiue,1
exactly,1
admittance,1
stake,1
comming,4
armie,1
due,1
ioyntresse,1
winkes,1
romage,1
lodge,1
grossely,1
mercy,5
dotes,1
sized,1
heerein,4
enters,1
about,19
wilfully,1
curd,1
sorrow,6
cure,1
danger,4
loines,1
decayer,1
crash,1
patch,1
coile,1
character,2
concernings,1
brow,4
meaning,1
churchyards,1
contriuing,1
moderate,1
peeuish,1
ducate,1
flourishes,1
beaten,1
belieue,1
murdrous,1
benefit,1
quality,3
sleepe,11
drowne,5
highest,1
heauens,10
shuffling,2
sober,1
allies,1
worlds,1
twer,1
lone,1
vngartred,1
anckle,1
long,17
fell,8
remember,12
into,27
fatnesse,1
defie,1
scarsely,1
hoboyes,1
dirty,1
middle,2
though,22
associates,1
adioyn,1
wold,1
seeke,8
lome,2
mans,5
holde,1
stickes,1
vnrung,1
many,15
fauour,4
valour,1
stay,11
appear,3
dye,5
impart,4
holds,5
open,3
lasts,1
behauiour,1
suffering,1
prankes,1
dumbe,6
recognizances,1
numbers,1
lockt,1
affectation,1
barr,1
seales,1
tread,1
barn,10
roughly,2
wood,1
monthes,1
bare,3
wrinkled,1
tryalls,1
fretfull,1
perdie,1
beard,6
repell,1
beare,13
dropping,1
murderer,2
wont,3
ophe,56
gentlewoman,1
conquest,1
look,7
bapt,1
yoricks,1
assurance,2
grounds,1
yawne,1
polon,38
pestilent,2
scapes,1
vnschool,1
sergeant,1
needes,1
counterfet,1
farewell,15
locke,3
allow,1
appliance,1
lord,211
stooping,1
proper,2
knocke,1
beast,5
bitter,3
speed,4
hatchment,1
orewhelm,1
admit,2
auouch,1
common,8
stalled,1
pated,1
stocke,1
prologue,4
chaste,1
diuinity,2
mart,1
stew,1
mars,2
politician,1
beats,1
soueraignty,1
boord,1
giuing,4
greefe,10
money,1
lucian,1
richer,2
knockt,1
step,2
aboue,4
remaster,1
sinnewes,1
tribute,2
mark,2
temperance,1
muddied,1
base,4
beame,1
bounteous,1
refraine,1
booke,4
iustly,3
whole,8
fingers,4
gambals,1
coppied,1
physicke,1
lost,8
trifling,1
bedded,1
vsurp,1
still,18
worm,1
work,1
lose,4
calues,1
toward,4
knowing,1
among,1
claimes,1
gorge,1
sence,3
wore,1
word,12
slaue,5
bawdy,1
blench,1
gender,1
tongue,14
postscript,1
fortie,1
forehead,2
secret,4
throwing,1
fortin,1
combate,1
impon,2
congregation,1
cramm,1
impotence,1
annuall,1
replication,1
loud,1
loue,66
bawd,1
repent,3
niobe,1
perfections,1
sting,2
haste,2
opinion,1
hauiour,1
sends,3
altogether,1
perceiued,1
alexander,5
soldier,2
duller,1
hasty,1
hyrcanian,1
shardes,1
farwel,1
voice,2
vnweeded,1
gonzago,4
craft,2
letcherous,1
broakers,1
cauiarie,1
coarse,3
dirge,1
sharpe,1
lowd,2
talke,2
peruse,1
milche,1
coward,1
mining,1
sounding,1
seeme,9
estimation,1
vnskilfull,1
shipped,1
elsonower,3
finis,1
prettinesse,1
enterprizes,1
cannons,1
clouds,3
sinners,1
elder,1
seene,20
enmity,1
knotty,1
spend,1
extinct,1
hoorded,1
benetted,1
dyed,3
anticke,2
tenants,1
heartily,3
assistant,2
daintier,1
wheaten,1
command,13
pitteous,1
variable,2
temple,1
greene,3
behauior,1
seduce,1
